uid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
u00,2.0,1.0,0.5,1.5,2.5,2.0,0.0,0.5,2.5,2.5,1.0,1.5,0.0,0.0,2.5,1.5,2.5,2.0,3.0,3.0,
u01,2.0,1.0,1.0,2.5,3.0,2.5,0.0,0.5,2.5,3.0,1.5,1.0,0.5,1.0,3.0,2.5,2.0,1.0,3.0,3.0,
u02,2.5,1.0,1.0,3.0,3.0,3.0,0.0,1.5,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,
u03,1.5,0.5,0.0,2.5,0.5,1.0,2.5,2.0,0.5,1.0,1.0,1.0,2.0,1.5,2.0,3.0,1.5,1.5,2.0,1.5,
u04,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.5,1.0,2.5,2.5,1.5,2.0,1.5,1.0,1.5,1.5,2.0,1.5,1.5,
u05,2,1,0,3,3,2,0,0,2,3,1,1,0,1,3,2,0,0,3,3,
u07,1.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.5,3.0,2.0,1.5,0.5,2.5,2.5,3.0,1.0,2.0,3.0,3.0,
u08,2,2,1,2,3,3,2,0,2,3,0,0,0,0,2,2,0,1,2,2,
u09,2.5,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,3.0,2.0,1.5,1.0,3.0,3.0,
u10,1.0,2.0,2.0,1.0,0.5,0.5,3.0,3.0,0.0,0.5,1.0,3.0,3.0,3.0,2.5,0.0,0.0,2.0,1.0,1.0,
u12,3,1,1,2,3,0,1,3,2,3,1,1,2,2,3,2,1,2,2,2,
u13,2,2,2,3,3,2,2,1,1,2,1,3,3,2,3,3,0,3,3,3,
u14,2.5,0.5,0.0,3.0,3.0,2.5,0.0,0.0,2.5,3.0,1.0,0.5,0.0,0.0,1.5,3.0,0.0,0.0,2.5,3.0,
u15,2.5,0.5,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,1.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,
u16,2.0,1.0,0.5,3.0,3.0,3.0,1.0,1.0,1.0,2.5,2.0,0.5,1.0,1.5,3.0,3.0,2.0,1.0,3.0,3.0,
u17,1.5,2.5,0.5,2.0,0.0,0.5,0.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,
u18,1.5,2.0,2.5,1.5,2.0,1.0,2.5,2.0,1.0,1.5,2.5,2.5,2.5,2.0,1.5,0.5,2.0,2.0,1.0,0.5,
u19,1.0,2.5,2.5,1.0,2.0,1.5,1.5,0.5,0.5,2.0,2.0,2.0,2.5,2.5,1.5,1.0,2.0,1.5,2.0,2.0,
u20,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.5,1.0,1.0,1.0,1.0,2.5,2.5,1.5,1.5,3.0,2.5,
u22,2,2,2,2,1,1,2,3,2,2,2,2,2,2,2,1,1,2,2,1,
u23,2.5,2.0,1.5,1.5,1.5,1.5,1.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,1.5,2.5,2.0,2.0,2.0,2.0,
u24,2.0,1.5,2.0,2.0,1.5,1.0,2.0,2.5,2.0,1.5,2.5,2.5,2.5,1.5,3.0,1.5,1.5,3.0,2.0,2.0,
u27,2.0,2.0,2.0,2.5,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2.0,2.0,1.5,2.0,1.0,1.0,1.5,2.0,2.0,
u30,3.0,0.5,0.5,3.0,3.0,3.0,0.0,0.5,3.0,3.0,1.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,3.0,
u31,1.5,0.5,1.5,3.0,2.5,2.0,0.0,1.0,2.5,2.5,1.5,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
u32,3.0,2.5,0.0,3.0,3.0,3.0,0.0,0.5,3.0,3.0,1.0,1.0,0.0,0.5,3.0,3.0,0.5,0.5,3.0,3.0,
u33,2.5,3.0,2.5,1.0,1.5,1.0,3.0,2.5,2.5,1.0,2.5,2.0,3.0,3.0,0.5,1.5,3.0,3.0,2.0,1.5,
u34,3.0,1.0,0.5,3.0,3.0,2.5,1.0,1.0,2.5,3.0,2.0,1.5,2.0,1.5,2.5,2.5,0.5,1.5,3.0,3.0,
u35,3.0,1.0,0.5,2.0,2.0,2.5,1.5,1.0,1.5,2.0,1.0,1.0,0.5,0.5,2.0,1.5,0.5,1.0,2.5,2.0,
u36,3.0,0.0,0.0,2.5,3.0,3.0,0.0,0.0,2.0,2.0,0.5,2.0,1.5,1.0,2.5,2.0,1.0,1.0,3.0,2.5,
u39,2,1,1,3,3,3,1,1,2,3,0,2,1,1,3,3,1,1,3,3,
u42,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.5,2.0,3.0,0.5,2.0,1.0,0.0,2.5,2.0,0.5,0.5,3.0,3.0,
u43,2.0,2.0,0.0,2.0,2.5,2.5,1.0,1.0,1.0,3.0,1.5,1.5,2.0,1.0,2.0,2.5,2.0,2.0,3.0,3.0,
u44,2.5,2.0,0.5,2.5,2.5,2.5,0.5,0.5,2.5,2.5,0.5,1.5,0.5,0.5,2.5,2.0,0.5,1.0,2.5,2.5,
u45,3.0,0.5,2.0,1.5,2.0,2.0,1.0,1.5,3.0,1.5,1.5,1.5,2.0,1.0,2.0,1.0,1.0,2.0,1.5,1.5,
u46,3,1,0,3,3,3,0,2,2,3,1,2,1,0,3,3,0,1,3,3,
u47,2.5,2.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,
u49,2.5,1.0,0.0,2.5,3.0,3.0,0.0,0.0,2.0,3.0,0.5,0.5,0.5,0.5,3.0,2.5,1.0,2.0,3.0,3.0,
u50,2,1,0,2,2,2,1,2,3,3,1,2,1,0,2,2,2,2,2,2,
u51,2.0,1.0,1.0,2.5,2.5,2.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,
u52,2.5,2.5,1.5,1.5,1.5,3.0,1.0,1.0,1.0,2.5,2.0,1.5,1.5,1.0,1.5,1.5,1.5,1.5,2.5,1.5,
u53,2.5,0.5,0.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,2.0,1.5,0.5,1.0,3.0,2.0,0.5,1.0,3.0,3.0,
u56,2.0,1.0,0.5,2.0,1.5,1.5,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,3.0,2.5,0.5,0.5,3.0,3.0,
u57,2,1,2,3,3,2,2,1,1,3,1,1,1,1,2,2,1,2,2,2,
u58,2.5,1.0,0.0,1.5,1.5,1.0,0.5,2.0,0.0,2.0,1.0,0.5,3.0,1.5,1.5,1.5,1.0,0.5,2.0,2.0,
u59,2.5,0.5,0.0,2.5,2.5,2.5,0.5,1.0,3.0,3.0,0.5,0.0,1.0,1.5,2.0,2.0,1.0,1.0,3.0,2.5,
